id_cli,nomb_cli,apell_cli,tip_doc,num_doc,fec_nac,fec_alta,cod_segmento,score_buro,ciudad_res,depto_res,estado_cli,canal_adquis
41,Mariana,Maestas,IDNAL,5197695041,1973-03-30,2023-02-14,BAS,354,Bogotá,Cundinamarca,ACTIVO,CORRESPONSAL
42,Karina,Alzate,IDNAL,2829742424,1976-09-04,2017-03-10,BAS,435,Medellín,Antioquia,ACTIVO,APP
43,Yolanda,Torres,IDNAL,632880459,1958-04-06,2025-12-31,BAS,322,Monterrey,Nuevo León,ACTIVO,APP
44,Eva,Rivas,IDNAL,5944142262,1958-03-16,2015-09-11,STD,659,Lima,Lima,ACTIVO,APP
45,Dulce María,del Valle,IDNAL,8805620900,2004-01-13,2023-05-14,BAS,489,Bogotá,Cundinamarca,INACTIVO,WEB
46,Frida,Quiroga,IDNAL,6462972995,2002-08-28,2023-09-04,BAS,320,Santiago,Región Metropolitana,ACTIVO,APP
47,Beatriz,Lebrón,PASP,2691864041,1971-07-15,2020-06-17,BAS,508,Arequipa,Arequipa,ACTIVO,APP
48,Ricardo,Ruiz,CE,594312071,1967-09-01,2019-03-29,STD,595,Cali,Valle del Cauca,ACTIVO,APP
49,Débora,Valencia,PASP,1785736751,1998-04-12,2022-03-24,BAS,427,Córdoba,Córdoba,ACTIVO,APP
50,Miriam,Acosta,IDNAL,7884394611,1974-10-29,2020-03-29,STD,667,Santiago,Región Metropolitana,ACTIVO,WEB
51,Nayibe,Quintero,IDNAL,3110335359,2004-03-05,2026-03-09,PRE,771,Ciudad de México,Ciudad de México,ACTIVO,APP
52,Celia,Botello,PASP,1982979741,1959-04-22,2021-03-03,ELI,904,Barranquilla,Atlántico,ACTIVO,APP
53,Eugenia,Quintero,PASP,6105574449,1973-08-09,2024-10-10,BAS,355,Buenos Aires,Buenos Aires,INACTIVO,APP
54,Anel,Barrientos,IDNAL,3239406957,1955-03-03,2026-03-03,BAS,595,Buenos Aires,Buenos Aires,ACTIVO,APP
55,Octavio,Rojas,IDNAL,5231117883,1993-10-15,2018-06-15,BAS,400,Lima,Lima,ACTIVO,APP
56,Jerónimo,González,IDNAL,8284507318,1968-08-05,2016-11-22,BAS,453,Cali,Valle del Cauca,ACTIVO,APP
57,Felix,Gaitán,IDNAL,4471357886,1986-08-14,2016-10-09,STD,720,Ciudad de México,Ciudad de México,ACTIVO,WEB
58,María,Pinto,PASP,4952059278,1991-07-15,2026-01-29,STD,550,Medellín,Antioquia,ACTIVO,APP
59,Antonia,Ruiz,IDNAL,4667181604,1958-03-13,2025-04-17,BAS,409,Medellín,Antioquia,ACTIVO,APP
60,Mary,Gaitán,IDNAL,2094011037,1995-11-23,2021-05-22,STD,719,Ciudad de México,Ciudad de México,INACTIVO,WEB
61,Fabio,Cortés,IDNAL,367704871,1974-11-06,2023-09-13,BAS,401,Ciudad de México,Ciudad de México,ACTIVO,WEB
62,Yésica,Cabán,IDNAL,5246716604,1962-06-10,2023-08-26,BAS,594,Lima,Lima,INACTIVO,APP
63,Manuela,Romero,IDNAL,5458544482,1957-04-16,2018-11-16,STD,577,Ciudad de México,Ciudad de México,ACTIVO,APP
64,Paola,Espinosa,IDNAL,7467250120,1990-11-28,2017-04-23,BAS,362,Guadalajara,Jalisco,ACTIVO,WEB
65,Silvano,Muro,IDNAL,1298229437,1960-04-08,2016-07-11,PRE,813,Monterrey,Nuevo León,ACTIVO,CORRESPONSAL
66,Jhon,Salas,IDNAL,3748302739,1973-07-17,2023-02-03,STD,671,Monterrey,Nuevo León,ACTIVO,WEB
67,Rosa,Hernádez,IDNAL,4575615203,1946-08-23,2018-03-07,STD,611,Lima,Lima,ACTIVO,APP
68,Marisol,García,IDNAL,9098680176,1982-11-11,2024-06-28,BAS,370,Medellín,Antioquia,ACTIVO,APP
69,Gina,Jiménez,IDNAL,9901532741,1983-02-01,2019-02-19,BAS,538,Bogotá,Cundinamarca,ACTIVO,APP
70,Raúl,Cortez,IDNAL,9336458105,1952-04-02,2022-07-20,BAS,594,Guadalajara,Jalisco,ACTIVO,CORRESPONSAL
71,Eduardo,Jiménez,IDNAL,9827335655,1989-06-09,2016-10-23,BAS,514,Valparaíso,Valparaíso,ACTIVO,WEB
72,Raúl,Pizarro,IDNAL,2338877621,2003-06-02,2018-01-07,STD,674,Ciudad de México,Ciudad de México,ACTIVO,WEB
73,Clemente,Maldonado,IDNAL,1886149718,1988-06-19,2022-06-13,BAS,365,Medellín,Antioquia,ACTIVO,APP
74,José,Mendoza,CE,8115009532,1982-09-07,2016-01-15,STD,659,Ciudad de México,Ciudad de México,ACTIVO,APP
75,Maximiliano,Jiménez,IDNAL,5047405755,2003-12-10,2018-09-08,STD,647,Bogotá,Cundinamarca,ACTIVO,APP
76,Fernando,Tamayo,IDNAL,5789448659,1963-06-14,2018-05-03,ELI,833,Guadalajara,Jalisco,ACTIVO,WEB
77,Elsa,Gutiérrez,CE,2362646960,1947-08-05,2019-11-23,BAS,426,Monterrey,Nuevo León,ACTIVO,WEB
78,Martha,Leal,IDNAL,6625389037,1945-04-16,2024-06-02,BAS,411,Guadalajara,Jalisco,ACTIVO,APP
79,Antonio,Pineda,IDNAL,5169243284,2004-09-23,2023-01-20,BAS,383,Buenos Aires,Buenos Aires,ACTIVO,APP
80,Paola,Covarrubias,CE,2365835550,1947-12-11,2017-07-13,BAS,503,Monterrey,Nuevo León,ACTIVO,APP
81,Gonzalo,Samaniego,PASP,5469318275,2008-04-22,2019-09-30,BAS,454,Medellín,Antioquia,ACTIVO,WEB
82,Luis,Ramírez,PASP,3710967433,1994-03-07,2021-05-19,STD,659,Lima,Lima,ACTIVO,CORRESPONSAL
83,Leonardo,Bonilla,IDNAL,3716265973,1978-04-02,2021-06-21,BAS,521,Medellín,Antioquia,ACTIVO,APP
84,Luis,Cárdenas,CE,3734910807,1980-07-06,2019-07-29,STD,716,Cali,Valle del Cauca,ACTIVO,WEB
85,María,Rueda,IDNAL,4212581851,2007-04-04,2017-09-30,PRE,768,Cali,Valle del Cauca,ACTIVO,APP
86,Gabriel,López,IDNAL,8655852024,1969-07-02,2016-11-14,BAS,591,Monterrey,Nuevo León,ACTIVO,APP
87,Julio,Quintero,IDNAL,2791027186,1999-08-09,2020-12-26,BAS,432,Bogotá,Cundinamarca,ACTIVO,WEB
88,Alfredo,Barrientos,IDNAL,8250327663,1992-06-01,2022-12-25,PRE,721,Barranquilla,Atlántico,ACTIVO,APP
89,Sandra,Quiroz,IDNAL,7275679594,1944-09-24,2016-07-21,BAS,529,Guadalajara,Jalisco,ACTIVO,APP
90,Clara,Sánchez,IDNAL,3403845222,1953-07-07,2025-12-20,BAS,542,Medellín,Antioquia,ACTIVO,WEB
91,David,Salinas,IDNAL,5292209057,1972-11-15,2015-10-05,BAS,456,Medellín,Antioquia,BLOQUEADO,APP
92,Rodrigo,Benavides,IDNAL,8354723429,1985-01-29,2019-11-09,BAS,394,Monterrey,Nuevo León,ACTIVO,APP
93,Santiago,Olivo,IDNAL,458072318,1980-07-09,2025-05-18,STD,575,Lima,Lima,ACTIVO,APP
94,Faber,Rodríguez,IDNAL,1178884276,2003-07-27,2020-06-20,BAS,323,Lima,Lima,ACTIVO,APP
95,Paola,Torres,CE,6961674558,1984-05-09,2026-04-10,STD,553,Santiago,Región Metropolitana,ACTIVO,APP
96,Wilfrido,Gómez,IDNAL,3145461251,2003-07-02,2021-02-27,STD,672,Barranquilla,Atlántico,ACTIVO,APP
97,Gloria,Tirado,IDNAL,8218363978,1959-02-02,2020-08-14,BAS,588,Ciudad de México,Ciudad de México,ACTIVO,APP
98,Ricardo,Corredor,PASP,6688606771,1995-05-29,2015-11-02,BAS,616,Medellín,Antioquia,ACTIVO,APP
99,Andrés,Arias,IDNAL,6805633786,1948-12-22,2023-08-15,STD,628,Valparaíso,Valparaíso,ACTIVO,APP
100,Reina,Ceballos,IDNAL,2781645815,2003-06-26,2022-07-19,BAS,435,Lima,Lima,INACTIVO,APP
101,Homero,Archuleta,IDNAL,8572442790,1948-03-19,2024-09-29,BAS,604,Medellín,Antioquia,ACTIVO,APP
102,Carolina,Arias,IDNAL,3120719599,1986-03-03,2023-12-04,BAS,419,Santiago,Región Metropolitana,ACTIVO,APP
103,Samuel,Gómez,PASP,5228133486,2006-04-15,2021-10-08,STD,689,Buenos Aires,Buenos Aires,ACTIVO,WEB
104,Barbara,Martínez,IDNAL,1952996248,1985-04-08,2016-06-17,BAS,604,Cali,Valle del Cauca,ACTIVO,APP
105,Olga,Vallejo,IDNAL,9479668720,1996-12-05,2021-03-10,STD,619,Guadalajara,Jalisco,ACTIVO,APP
106,Norma,Lebrón,IDNAL,4241397494,1995-12-10,2017-06-21,STD,614,Bogotá,Cundinamarca,ACTIVO,APP
107,Guillermo,Muñiz,IDNAL,6824071339,1953-06-17,2016-06-28,BAS,437,Ciudad de México,Ciudad de México,ACTIVO,WEB
108,Dolores,Barela,IDNAL,2549776132,1975-11-20,2026-01-24,STD,699,Bogotá,Cundinamarca,ACTIVO,APP
109,Vanesa,Cruz,IDNAL,6019900273,1974-12-18,2016-11-06,PRE,726,Bogotá,Cundinamarca,INACTIVO,APP
110,Adriana,Barraza,PASP,9771119310,1967-07-10,2023-04-27,BAS,581,Córdoba,Córdoba,ACTIVO,APP
111,Diana,Ureña,IDNAL,6142103618,1969-10-05,2023-04-25,BAS,300,Arequipa,Arequipa,ACTIVO,APP
112,Marta,Marroquín,IDNAL,9932213115,1967-01-27,2023-09-01,STD,710,Cali,Valle del Cauca,ACTIVO,APP
113,Espartaco,Cabán,IDNAL,9004675653,1996-11-03,2025-01-24,BAS,548,Cali,Valle del Cauca,ACTIVO,APP
114,Natividad,Camacho,IDNAL,7517413631,2007-07-02,2025-10-24,ELI,924,Medellín,Antioquia,ACTIVO,APP
115,Dayana,Correa,IDNAL,4759761714,1949-06-02,2025-05-14,ELI,947,Cali,Valle del Cauca,ACTIVO,APP
116,Elisa,Jaramillo,PASP,5069848439,2004-04-23,2021-07-28,BAS,533,Guadalajara,Jalisco,ACTIVO,APP
117,José Eduardo,Valles,IDNAL,298867122,1947-11-05,2021-12-31,BAS,441,Valparaíso,Valparaíso,ACTIVO,APP
118,Marlene,Negrón,IDNAL,7394198376,2001-09-17,2018-03-31,PRE,776,Bogotá,Cundinamarca,ACTIVO,WEB
119,Rebeca,Bonilla,IDNAL,6116096874,1969-10-14,2019-04-08,STD,635,Medellín,Antioquia,ACTIVO,WEB
120,Ana María,González,IDNAL,1324651201,1968-07-01,2015-09-24,STD,696,Medellín,Antioquia,ACTIVO,APP
121,Tomás,Chapa,IDNAL,5538133249,1942-02-16,2022-12-04,PRE,797,Monterrey,Nuevo León,ACTIVO,APP
122,Gregorio,Lozano,IDNAL,7757570742,1968-08-15,2023-01-08,STD,678,Ciudad de México,Ciudad de México,ACTIVO,CORRESPONSAL
123,Florencia,Marroquín,CE,6757700186,1961-04-21,2022-06-28,BAS,307,Barranquilla,Atlántico,ACTIVO,WEB
124,Alejandra,Rincón,IDNAL,4673482258,1958-02-27,2025-08-14,BAS,473,Monterrey,Nuevo León,ACTIVO,APP
125,José,Polo,IDNAL,5246612046,1946-10-19,2024-08-17,BAS,462,Guadalajara,Jalisco,ACTIVO,APP
126,Andrea,Bonilla,IDNAL,1014766981,1959-01-08,2018-07-21,PRE,773,Ciudad de México,Ciudad de México,ACTIVO,APP
127,Trinidad,Díaz,CE,6783763790,2000-05-30,2018-03-03,STD,663,Monterrey,Nuevo León,ACTIVO,APP
128,Patricia,Barrera,IDNAL,2540128512,1976-02-15,2020-11-17,BAS,520,Bogotá,Cundinamarca,ACTIVO,APP
129,Yesenia,Negrete,IDNAL,8919491730,1983-06-15,2023-06-22,STD,647,Bogotá,Cundinamarca,ACTIVO,WEB
130,Estela,Medina,IDNAL,2153356179,1972-04-04,2021-06-11,BAS,430,Ciudad de México,Ciudad de México,ACTIVO,APP
131,Juana,Arenas,IDNAL,7334179373,1977-04-06,2021-10-16,PRE,788,Ciudad de México,Ciudad de México,ACTIVO,APP
132,Gerardo,Parra,CE,1437308013,1948-01-13,2020-06-07,BAS,496,Ciudad de México,Ciudad de México,INACTIVO,WEB
133,Daniel,Merino,PASP,5797436140,1950-05-18,2020-11-12,BAS,311,Medellín,Antioquia,ACTIVO,APP
134,Jorge,Guerra,CE,1554039848,1962-08-15,2019-03-30,STD,562,Guadalajara,Jalisco,ACTIVO,APP
135,Michael,Ramírez,PASP,665484476,1999-01-24,2024-03-27,STD,640,Lima,Lima,ACTIVO,CORRESPONSAL
136,Verónica,Pardo,IDNAL,6860121241,1952-08-22,2026-03-25,BAS,370,Lima,Lima,ACTIVO,WEB
137,Emilia,Partida,IDNAL,1928130926,1962-08-30,2018-11-25,PRE,733,Medellín,Antioquia,ACTIVO,APP
138,Javier,Restrepo,IDNAL,7636984580,2007-05-10,2018-12-30,BAS,487,Medellín,Antioquia,ACTIVO,APP
139,Pascual,Rosales,IDNAL,9030554118,1960-12-31,2018-04-30,PRE,775,Santiago,Región Metropolitana,ACTIVO,APP
140,Verónica,Quesada,IDNAL,4409514899,1968-07-31,2019-08-12,BAS,503,Barranquilla,Atlántico,ACTIVO,CORRESPONSAL
141,Wilman,Torres,CE,3997866845,1995-06-15,2017-12-10,PRE,816,Medellín,Antioquia,ACTIVO,WEB
142,Salvador,Vélez,IDNAL,6309779967,2003-03-31,2015-12-04,STD,722,Ciudad de México,Ciudad de México,ACTIVO,APP
143,Fernanda,Ulibarri,IDNAL,1237386857,1949-11-22,2019-08-28,BAS,332,Santiago,Región Metropolitana,ACTIVO,APP
144,Fernando,Martínez,IDNAL,8660523876,1990-07-01,2020-07-21,STD,559,Bogotá,Cundinamarca,ACTIVO,APP
145,María,Moreno,IDNAL,9394441700,1977-03-23,2016-10-01,STD,721,Medellín,Antioquia,ACTIVO,WEB
146,Catalina,Gómez,PASP,8508499533,1992-06-15,2021-09-03,STD,717,Arequipa,Arequipa,ACTIVO,APP
147,Ana María,Cano,IDNAL,572989855,1978-10-04,2026-07-15,STD,663,Bogotá,Cundinamarca,ACTIVO,CORRESPONSAL
148,Frida,Barrera,IDNAL,8860949331,1944-02-13,2019-01-11,BAS,483,Barranquilla,Atlántico,ACTIVO,CORRESPONSAL
149,Leonel,Mata,IDNAL,6508522951,1958-11-03,2018-11-07,BAS,408,Santiago,Región Metropolitana,INACTIVO,CORRESPONSAL
150,Edith,Meraz,IDNAL,5875597607,1992-03-08,2022-03-06,STD,694,Bogotá,Cundinamarca,ACTIVO,WEB
151,Dairo,Aguirre,IDNAL,6525240100,1991-01-29,2016-12-10,PRE,737,Lima,Lima,ACTIVO,APP
152,Alberto,Trejo,IDNAL,1379592595,1963-12-01,2020-10-24,STD,594,Buenos Aires,Buenos Aires,ACTIVO,CORRESPONSAL
153,Alberto,Pérez,IDNAL,5804850108,1991-01-23,2026-01-22,PRE,704,Lima,Lima,ACTIVO,APP
154,Esperanza,Benavídez,IDNAL,2918046336,1951-04-27,2016-03-11,BAS,485,Lima,Lima,ACTIVO,APP
155,Daniel,Navarro,IDNAL,2436297208,1987-10-24,2021-11-29,BAS,566,Cali,Valle del Cauca,ACTIVO,CORRESPONSAL
156,Estefanía,Vela,IDNAL,6568980185,1962-12-30,2019-11-06,STD,577,Santiago,Región Metropolitana,ACTIVO,CORRESPONSAL
157,Amador,Sanabria,IDNAL,4800746936,1989-07-05,2019-04-02,PRE,770,Ciudad de México,Ciudad de México,ACTIVO,APP
158,Jhon,Ramírez,IDNAL,3662861038,1953-05-08,2017-02-03,STD,679,Ciudad de México,Ciudad de México,ACTIVO,APP
159,Enrique,Urbina,IDNAL,8123207735,1990-01-15,2021-10-01,BAS,410,Monterrey,Nuevo León,ACTIVO,WEB
160,Germán,Chávez,IDNAL,7689593739,1966-02-28,2023-07-21,PRE,780,Cali,Valle del Cauca,ACTIVO,WEB
161,Perla,Barraza,IDNAL,2469178881,2007-10-09,2026-07-12,STD,571,Buenos Aires,Buenos Aires,ACTIVO,APP
162,Estela,Duarte,IDNAL,2524521602,1971-01-15,2017-09-17,BAS,587,Guadalajara,Jalisco,ACTIVO,WEB
163,Uriel,Cuellar,IDNAL,5263354802,1999-03-02,2019-11-12,STD,563,Buenos Aires,Buenos Aires,ACTIVO,WEB
164,Sara,Hernández,CE,8991206531,1981-11-15,2018-07-06,STD,607,Medellín,Antioquia,ACTIVO,APP
165,Héctor,Anaya,IDNAL,6772180882,1993-10-16,2026-02-11,BAS,519,Bogotá,Cundinamarca,ACTIVO,APP
166,Itzel,Bedoya,IDNAL,2074232200,1961-11-03,2016-11-03,ELI,888,Ciudad de México,Ciudad de México,ACTIVO,APP
167,Jacobo,Guerrero,IDNAL,5171239466,1962-11-15,2021-06-23,BAS,373,Bogotá,Cundinamarca,ACTIVO,CORRESPONSAL
168,Carmen,Molina,IDNAL,1370592316,1949-12-09,2023-04-01,BAS,410,Cali,Valle del Cauca,ACTIVO,APP
169,Horacio,Arteaga,IDNAL,8355364489,1958-06-30,2021-03-03,STD,702,Barranquilla,Atlántico,ACTIVO,APP
170,Liliana,Samaniego,IDNAL,5620138568,1947-09-24,2024-03-13,BAS,517,Ciudad de México,Ciudad de México,ACTIVO,APP
171,Didier,Vergara,IDNAL,208985103,1975-04-12,2020-06-17,BAS,445,Medellín,Antioquia,ACTIVO,WEB
172,Flavio,Hernández,IDNAL,7419590655,1966-07-03,2022-06-01,STD,564,Barranquilla,Atlántico,ACTIVO,APP
173,Mercedes,Naranjo,IDNAL,4610783750,1993-08-14,2026-03-15,BAS,303,Bogotá,Cundinamarca,ACTIVO,APP
174,Gonzalo,Orta,IDNAL,8327720702,1955-02-23,2024-02-09,BAS,481,Medellín,Antioquia,ACTIVO,APP
175,Bernabé,Chapa,IDNAL,7747974356,1951-09-27,2021-03-06,PRE,847,Córdoba,Córdoba,ACTIVO,APP
176,Cecilia,Vega,IDNAL,5582557981,1966-09-01,2017-06-19,BAS,387,Barranquilla,Atlántico,ACTIVO,APP
177,Juan,Zambrano,IDNAL,9567225309,1981-04-23,2018-07-02,STD,612,Cali,Valle del Cauca,ACTIVO,CORRESPONSAL
178,Milena,Aparicio,IDNAL,819412471,1962-12-13,2018-03-05,BAS,386,Lima,Lima,ACTIVO,WEB
179,Eduardo,Sierra,IDNAL,8857430687,1976-11-23,2025-02-21,STD,715,Lima,Lima,ACTIVO,APP
180,Abraham,Silva,IDNAL,4108932916,2003-09-02,2024-11-22,BAS,338,Monterrey,Nuevo León,ACTIVO,APP
181,Javier,León,IDNAL,4111732824,1979-07-31,2019-06-05,STD,694,Lima,Lima,ACTIVO,WEB
182,Ángel,Sáenz,IDNAL,6355707297,1961-03-09,2025-05-10,ELI,940,Medellín,Antioquia,ACTIVO,CORRESPONSAL
183,Johan,Figueroa,IDNAL,1247484671,2006-08-11,2021-06-29,BAS,531,Ciudad de México,Ciudad de México,ACTIVO,APP
184,Alexander,Rojas,IDNAL,7285000265,1949-01-13,2019-09-22,BAS,604,Buenos Aires,Buenos Aires,ACTIVO,APP
185,Wendolin,Gonzales,IDNAL,4725314249,1990-06-02,2017-04-23,STD,696,Santiago,Región Metropolitana,ACTIVO,WEB
186,Abraham,Palomo,IDNAL,8434946584,1961-01-09,2017-02-13,BAS,475,Bogotá,Cundinamarca,ACTIVO,APP
187,Luz,del Río,CE,3949801453,1995-03-22,2018-10-08,BAS,568,Arequipa,Arequipa,ACTIVO,APP
188,Henry,Lugo,IDNAL,5733962236,1985-03-29,2017-11-18,BAS,606,Bogotá,Cundinamarca,ACTIVO,APP
189,Luisa,Menéndez,IDNAL,7435100486,1990-07-02,2015-11-03,STD,614,Ciudad de México,Ciudad de México,ACTIVO,APP
190,Dario,del Río,IDNAL,7846861559,1947-07-04,2017-03-22,STD,586,Medellín,Antioquia,ACTIVO,WEB
191,Homero,Valencia,PASP,4324302451,1957-08-18,2020-02-22,BAS,343,Cali,Valle del Cauca,ACTIVO,WEB
192,Karen,Ibarra,IDNAL,2975418439,1987-01-16,2023-07-08,BAS,569,Monterrey,Nuevo León,ACTIVO,WEB
193,Cecilia,Barrios,IDNAL,948540266,1974-02-21,2023-05-05,STD,637,Barranquilla,Atlántico,ACTIVO,APP
194,Marta,Uribe,PASP,3272162158,1977-05-12,2024-08-01,STD,575,Cali,Valle del Cauca,ACTIVO,APP
195,Ana,Bañuelos,IDNAL,643611097,1999-10-01,2017-07-30,STD,708,Monterrey,Nuevo León,ACTIVO,APP
196,Nancy,López,IDNAL,3473306055,1950-07-31,2023-05-16,BAS,384,Arequipa,Arequipa,ACTIVO,WEB
197,Marisela,Sandoval,IDNAL,3106464319,1958-12-01,2019-04-22,BAS,529,Buenos Aires,Buenos Aires,ACTIVO,WEB
198,Bernabé,Herrera,IDNAL,3840638976,1943-10-05,2022-07-22,BAS,592,Santiago,Región Metropolitana,INACTIVO,WEB
199,Héctor,Rivera,CE,5916301780,1988-01-23,2021-07-07,STD,601,Monterrey,Nuevo León,ACTIVO,APP
200,José Carlos,Contreras,IDNAL,3585531525,2008-03-09,2023-06-24,BAS,352,Santiago,Región Metropolitana,ACTIVO,APP
201,Andrés,Gutiérrez,IDNAL,1486744752,1954-06-05,2016-02-24,STD,681,Medellín,Antioquia,ACTIVO,APP
202,David,Guajardo,IDNAL,289012242,1971-12-25,2019-10-06,BAS,313,Ciudad de México,Ciudad de México,INACTIVO,APP
203,Concepción,Moreno,IDNAL,3333167876,1975-11-22,2019-08-02,BAS,463,Bogotá,Cundinamarca,ACTIVO,APP
204,Carlos,Moreno,PASP,2238756255,1962-01-19,2016-08-20,PRE,820,Bogotá,Cundinamarca,ACTIVO,WEB
205,Rosalia,Cortés,IDNAL,8470922075,1995-01-28,2022-09-06,BAS,431,Bogotá,Cundinamarca,ACTIVO,APP
206,Milena,Díaz,IDNAL,5262814762,1996-06-07,2016-07-31,BAS,421,Cali,Valle del Cauca,INACTIVO,APP
207,Willian,Oquendo,IDNAL,1095197958,1985-08-10,2023-04-02,BAS,555,Ciudad de México,Ciudad de México,ACTIVO,WEB
208,Andrea,Ávalos,IDNAL,312606333,1974-03-23,2021-04-06,BAS,614,Medellín,Antioquia,ACTIVO,APP
209,Ronald,Galarza,IDNAL,9093803808,2003-10-30,2025-11-18,STD,684,Ciudad de México,Ciudad de México,ACTIVO,WEB
